ID,Model_Tag,Kickoff_UTC,League,Matchup,Market,Pick,Bookmaker,Odds,Edge_Pct,Stake,Status,P_L
52ae8d13,LATE_STEAM,2026-09-15T16:00:00Z,Coppa Italia,Genoa vs Südtirol,Pre-Match +EV,Draw,Coral,4.2,3.4,15.0,PENDING,0.0
2bb3c87b,LATE_STEAM,2026-09-15T16:00:00Z,Ekstraklasa - Poland,Raków Częstochowa vs Zagłębie Lubin,Pre-Match +EV,Raków Częstochowa,Smarkets,1.93,3.8,15.0,PENDING,0.0
10f14cb7,LATE_STEAM,2026-09-15T17:00:00Z,3. Liga - Germany,FC Würzburger Kickers vs Alemannia Aachen,Pre-Match +EV,FC Würzburger Kickers,Tipico,3.7,8.5,15.0,PENDING,0.0
080dddef,LATE_STEAM,2026-09-15T17:00:00Z,La Liga - Spain,Rayo Vallecano vs Espanyol,Pre-Match +EV,Draw,Betano (UK),3.5,3.2,15.0,PENDING,0.0
50df226f,LATE_STEAM,2026-09-15T17:00:00Z,Swiss Superleague,Grasshopper Zürich vs FC Sion,Pre-Match +EV,Draw,Coolbet,4.2,7.4,15.0,PENDING,0.0
ac1a0ee2,LATE_STEAM,2026-09-15T17:00:00Z,3. Liga - Germany,SV Meppen vs FC Viktoria Köln 1904,Pre-Match +EV,SV Meppen,Tipico,2.9,3.9,15.0,PENDING,0.0
3107b45c,LATE_STEAM,2026-09-15T17:00:00Z,3. Liga - Germany,Jahn Regensburg vs Fortuna Düsseldorf,Pre-Match +EV,Jahn Regensburg,Tipico,3.1,3.3,15.0,PENDING,0.0
37ab3c02,LATE_STEAM,2026-09-15T17:00:00Z,Superettan - Sweden,Landskrona BoIS vs GIF Sundsvall,Pre-Match +EV,GIF Sundsvall,1xBet,7.95,7.0,15.0,PENDING,0.0
7c19d8b3,LATE_STEAM,2026-09-15T17:00:00Z,Superettan - Sweden,IFK Värnamo vs Östers IF,Pre-Match +EV,IFK Värnamo,Unibet (NL),1.93,3.8,15.0,PENDING,0.0
10be4781,LATE_STEAM,2026-09-15T17:00:00Z,Superettan - Sweden,IK Brage vs Sandvikens IF,Pre-Match +EV,IK Brage,1xBet,2.9,6.6,15.0,PENDING,0.0
4ca313d7,LATE_STEAM,2026-09-15T18:00:00Z,Dutch Eredivisie,Ajax vs Willem II,Pre-Match +EV,Willem II,Unibet (UK),19.0,3.5,15.0,PENDING,0.0
a4cbe3d9,LATE_STEAM,2026-09-15T18:00:00Z,La Liga - Spain,Alavés vs Valencia,Pre-Match +EV,Alavés,1xBet,1.74,3.6,15.0,PENDING,0.0
5a7f3a8d,LATE_STEAM,2026-09-15T18:30:00Z,EFL Cup,Peterborough United vs Barnsley,Pre-Match +EV,Barnsley,Betfair,3.05,5.5,15.0,PENDING,0.0
e85651d9,LATE_STEAM,2026-09-15T18:30:00Z,Ekstraklasa - Poland,Korona Kielce vs Górnik Zabrze,Pre-Match +EV,Draw,Coolbet,3.4,5.3,15.0,PENDING,0.0
838e9481,LATE_STEAM,2026-09-15T18:45:00Z,Premiership - Scotland,Motherwell vs Aberdeen,Pre-Match +EV,Draw,Smarkets,4.0,3.9,15.0,PENDING,0.0
89c47db3,LATE_STEAM,2026-09-15T18:45:00Z,Championship,Bristol City vs Lincoln City,Pre-Match +EV,Draw,LeoVegas (SE),3.75,5.9,15.0,PENDING,0.0
501e3b63,LATE_STEAM,2026-09-15T18:45:00Z,Premiership - Scotland,Falkirk F.C. vs Hearts,Pre-Match +EV,Falkirk F.C.,Smarkets,3.95,6.5,15.0,PENDING,0.0
fd442eba,LATE_STEAM,2026-09-15T18:45:00Z,EFL Cup,West Ham United vs Fulham,Pre-Match +EV,Fulham,Betfair,2.9,3.6,15.0,PENDING,0.0
b380fa03,LATE_STEAM,2026-09-15T17:00:01Z,3. Liga - Germany,SG Sonnenhof Großaspach vs SC Verl,Halftime In-Play,SG Sonnenhof Großaspach,Tipico,5.0,18.8,15.0,PENDING,0.0
29c7f8d3,LATE_STEAM,2026-09-15T17:00:02Z,3. Liga - Germany,MSV Duisburg vs TSV Havelse,Halftime In-Play,MSV Duisburg,Tipico,2.55,63.5,15.0,PENDING,0.0
